Station;Abk;müM;Breitengrad;Längengrad;Kanton
Aadorf / Tänikon;tae;541;47.479864;8.904894;TG
Acquarossa / Comprovasco;com;594;46.458958;8.935408;TI
Adelboden;abo;1348;46.492186;7.560472;BE
Aigle;aig;383;46.326642;6.924442;VD
Altdorf;alt;440;46.887042;8.621794;UR
Andeer;and;989;46.610114;9.431936;GR
Andermatt;ant;1437;46.630858;8.580525;UR
Arosa;aro;1880;46.792594;9.67905;GR
Bad Ragaz;rag;498;47.016578;9.502553;SG
Bantiger;ban;1097;46.977806;7.528667;BE
Basel / Binningen;bas;320;47.541094;7.583556;BL
Bergün / Latsch;lat;1410;46.627275;9.753706;GR
Beznau;bez;328;47.557231;8.233258;AG
Biasca;bia;280;46.336053;8.978197;TI
Bischofszell / Sitterdorf;biz;507;47.508797;9.266892;TG
Bière;bie;686;46.524892;6.342392;VD
Blatten, Lötschental;bla;1540;46.420369;7.823219;VS
Boltigen;bol;822;46.623519;7.384206;BE
Buchs / Aarau;bus;389;47.384336;8.079492;AG
Buffalora;buf;1970;46.648136;10.267197;GR
Bullet / La Frétaz;fre;1207;46.840622;6.576314;VD
Cevio;cev;425;46.320486;8.603161;TI
Chaumont;chm;1138;47.049169;6.978825;NE
Chur;chu;564;46.870472;9.52965;GR
Château-d'Oex;chd;1031;46.479764;7.13965;VD
Crap Masegn;cma;2489;46.842244;9.180208;GR
Delémont;dem;441;47.351706;7.349561;JU
Disentis;dis;1199;46.706531;8.853456;GR
Ebnat-Kappel;ebk;625;47.273339;9.108489;SG
Einsiedeln;ein;912;47.132986;8.756561;SZ
Elm;elm;960;46.923747;9.17535;GL
Evionnaz;evi;484;46.182953;7.026747;VS
Evolène / Villa;evo;1828;46.112122;7.508667;VS
Fahy;fah;598;47.423814;6.941158;JU
Fribourg / Grangeneuve;gra;653;46.771397;7.113708;FR
Frutigen;fru;758;46.599003;7.657542;BE
Genève / Cointrin;gve;424;46.2478;6.1282;GE
Giswil;gih;473;46.849447;8.190225;OW
Glarus;gla;519;47.034583;9.066928;GL
Gornergrat;gor;3133;45.983644;7.785944;VS
Grono;gro;326;46.254986;9.163728;GR
Grächen;grc;1607;46.195306;7.836789;VS
Gösgen;goe;382;47.363106;7.973706;SO
Güttingen;gut;442;47.601706;9.279389;TG
Hallau;hll;421;47.697275;8.470472;SH
Ilanz;ilz;700;46.775039;9.215353;GR
Interlaken;int;580;46.672025;7.870378;BE
Koppigen;kop;486;47.118847;7.605492;BE
Langnau i.E.;lag;747;46.939625;7.806442;BE
Leibstadt;lei;343;47.597261;8.188281;AG
Lägern;lae;873;47.481933;8.397222;ZH
Mathod;mah;439;46.736978;6.567983;VD
Matro;mtr;2190;46.410103;8.924742;TI
Meiringen;mer;591;46.732169;8.169261;BE
Montana;mve;1426;46.298825;7.460775;VS
Mosen;moa;454;47.2438;8.232789;LU
Mottec;mte;1582;46.147953;7.624019;VS
Mühleberg;mub;482;46.973247;7.278172;BE
Oron;oro;829;46.572264;6.858239;VD
Passo del Bernina;beh;2272;46.409158;10.019567;GR
Pfäffikon, ZH;pfa;539;47.376817;8.754864;ZH
Piotta;pio;991;46.514775;8.688139;TI
Plaffeien;plf;1044;46.747694;7.266269;FR
Poschiavo / Robbia;rob;1080;46.347192;10.062994;GR
Pully;puy;457;46.512278;6.667481;VD
Robièi;roe;1904;46.443067;8.513389;TI
Rünenberg;rue;613;47.434556;7.879342;BL
S. Bernardino;sbe;1641;46.463539;9.184664;GR
Schaffhausen;sha;441;47.689803;8.620053;SH
Segl-Maria;sia;1806;46.432331;9.762325;GR
Simplon-Dorf;sim;1467;46.196825;8.056336;VS
St. Chrischona;stc;725;47.571767;7.687094;BS
Sta. Maria, Val Müstair;smm;1388;46.6022;10.426303;GR
Stabio;sbo;353;45.843406;8.932439;TI
Uetliberg;ueb;1016;47.351364;8.490225;ZH
Ulrichen;ulr;1348;46.504853;8.308175;VS
Vaduz;vad;459;47.127447;9.517506;FL
Valbella;vab;1571;46.755033;9.554433;GR
Vals;vls;1244;46.627758;9.188711;GR
Vevey / Corseaux;vev;407;46.471292;6.815094;VD
Vicosoprano;vio;1091;46.353019;9.6278;GR
Visp;vis;641;46.302875;7.842914;VS
Wynau;wyn;424;47.255019;7.787431;BE
Wädenswil;wae;499;47.221794;8.676972;ZH
Würenlingen / PSI;psi;404;47.538947;8.228358;AG
Zermatt;zer;1641;46.029261;7.752417;VS
Zürich / Affoltern;reh;445;47.427669;8.517919;ZH
Zürich / Kloten;klo;428;47.479583;8.535892;ZH
